model,return
Aggressive,36.0919
Aggressive,38.32067
Aggressive,42.449015
Aggressive,40.77983
Aggressive,40.216745
Aggressive,40.574785
Aggressive,41.063195
Aggressive,40.601225
Aggressive,39.497935
Aggressive,37.31285
Aggressive,37.365095
Aggressive,35.655215
Aggressive,36.533325
Aggressive,37.570775
Aggressive,36.132915
Aggressive,36.95169
Aggressive,37.458315
Aggressive,35.455805
Aggressive,35.186085
Aggressive,34.65452
Aggressive,33.58149
Aggressive,33.5749
Aggressive,36.328565
Aggressive,35.975415
Aggressive,35.7409
Aggressive,36.97744
Aggressive,38.109795
Aggressive,37.354865
Aggressive,37.403905
Aggressive,37.64034
Aggressive,37.31482
Aggressive,35.93237
Aggressive,35.370815
Aggressive,35.445375
Aggressive,36.505805
Aggressive,35.35489
Aggressive,34.167195
Aggressive,33.91298
Aggressive,35.27037
Aggressive,34.689745
Aggressive,34.41066
Aggressive,36.378575
Aggressive,36.35761
Aggressive,35.76446
Aggressive,36.908925
Aggressive,36.686145
Aggressive,36.90505
Aggressive,35.25812
Aggressive,34.474415
Aggressive,34.5304
Aggressive,33.26464
Aggressive,33.842455
Aggressive,34.641325
Aggressive,34.18122
Aggressive,34.936405
Aggressive,33.872555
Balanced,12.20647
Balanced,11.8276
Balanced,11.29884
Balanced,11.43693
Balanced,11.4207
Balanced,10.67407
Balanced,10.685815
Balanced,10.474645
Balanced,9.12842
Balanced,9.52957
Balanced,9.672785
Balanced,10.64671
Balanced,10.35047
Balanced,10.801735
Balanced,9.82619
Balanced,9.3943
Balanced,8.363865
Balanced,7.67417
Balanced,6.91939
Balanced,6.27387
Balanced,6.3813
Balanced,5.81336
Balanced,5.810325
Balanced,5.8554
Balanced,6.113615
Balanced,5.328445
Balanced,4.157225
Balanced,4.36754
Balanced,4.530765
Balanced,5.277405
Balanced,5.35894
Balanced,5.15838
Balanced,5.744785
Balanced,6.20867
Balanced,5.445455
Balanced,5.91644
Balanced,5.56541
Balanced,5.426085
Balanced,4.8411
Balanced,4.528825
Balanced,4.83948
Balanced,4.60606
Balanced,5.427125
Balanced,5.56509
Balanced,5.76247
Balanced,5.57458
Balanced,4.621455
Balanced,4.61584
Balanced,5.08361
Balanced,3.79323
Balanced,3.478
Balanced,4.21222
Balanced,4.212535
Balanced,3.312735
Balanced,3.39645
Balanced,3.171395
Balanced,2.854615
Balanced,2.66247
Balanced,4.638665
Balanced,4.60017
Balanced,3.79805
Balanced,4.20646
Balanced,3.147825
Balanced,3.263625
Balanced,2.710305
Balanced,3.077605
Balanced,3.28586
Balanced,3.039045
Balanced,3.385365
Balanced,3.40978
Balanced,3.703335
Balanced,3.448035
Balanced,2.74867
Balanced,2.57691
Balanced,0.324305
Balanced,-0.05586
Balanced,1.00063
Balanced,1.030255
Balanced,0.593055
Balanced,0.072615
Balanced,-0.4268
Balanced,0.2124
Balanced,0.08742
Balanced,-0.15593
Balanced,-0.43158
Balanced,0.12683
Balanced,0.87902
Balanced,-0.111595
Balanced,-0.204055
Balanced,-0.1417
Balanced,0.42355
Balanced,0.086875
Balanced,0.314295
Balanced,0.010285
Balanced,-0.524005
Balanced,-2.49041
Balanced,-2.584165
Balanced,-3.57395
Balanced,-3.021035
Balanced,-3.735745
Balanced,-3.7315
Balanced,-3.275685
Balanced,-2.874205
Balanced,-3.219485
Balanced,-3.09649
Balanced,-3.15025
Balanced,-3.23504
Balanced,-3.4514
Balanced,-3.95879
Balanced,-3.248505
Balanced,-3.92962
Balanced,-4.28762
Balanced,-4.416335
Balanced,-4.81449
Balanced,-4.367875
Balanced,-3.44373
Balanced,-3.113115
Balanced,-4.307905
Balanced,-4.459385
Balanced,-4.50574
Balanced,-4.61077
Balanced,-4.41826
Balanced,-4.76257
Balanced,-6.11304
Balanced,-5.792765
Balanced,-5.87666
Balanced,-6.82677
Balanced,-6.51996
Balanced,-6.399245
Balanced,-6.723375
Balanced,-8.318125
Balanced,-7.90715
Balanced,-7.662895
Balanced,-6.621305
Balanced,-6.6299
Balanced,-6.38279
Balanced,-7.332395
Balanced,-7.108565
Balanced,-7.555035
Balanced,-7.89829
Balanced,-8.207445
Balanced,-8.060995
Balanced,-7.395085
Balanced,-6.69263
Balanced,-6.870135
Balanced,-7.04798
Balanced,-7.35816
Balanced,-6.637765
Balanced,-6.53146
Balanced,-7.15609
Balanced,-7.52806
Balanced,-7.899795
Balanced,-8.095125
Balanced,-7.972055
Balanced,-7.90584
Balanced,-8.61944
Balanced,-8.11218
Balanced,-8.238145
Balanced,-8.60788
Balanced,-8.202575
Balanced,-7.343795
Balanced,-6.326095
Balanced,-5.655755
Balanced,-5.74312
Balanced,-5.199015
Balanced,-4.91291
Balanced,-4.65611
Balanced,-5.076265
Balanced,-4.154315
Balanced,-3.82296
Balanced,-4.20138
Balanced,-4.204225
Balanced,-4.084295
Balanced,-3.70125
Balanced,-3.77207
Balanced,-4.148535
Balanced,-4.96009
Balanced,-5.753685
Balanced,-5.51006
Balanced,-5.428785
Balanced,-5.440665
Balanced,-5.45779
Balanced,-5.412025
Balanced,-5.510185
Balanced,-5.75285
Balanced,-5.47084
Balanced,-5.805875
Balanced,-5.142845
Balanced,-5.762895
Balanced,-5.732135
Balanced,-5.44827
Balanced,-6.20862
Balanced,-6.147745
Balanced,-5.364645
Balanced,-5.36463
Balanced,-5.68977
Balanced,-5.642945
Balanced,-6.135535
Balanced,-6.23593
Balanced,-6.515085
Balanced,-6.594125
Balanced,-7.034345
Balanced,-6.65018
Balanced,-7.092535
Balanced,-7.45138
Balanced,-7.662925
Balanced,-7.398485
Balanced,-7.89302
Balanced,-6.33591
Balanced,-5.79237
Balanced,-5.582315
Balanced,-6.761425
Balanced,-6.55094
Balanced,-7.10616
Balanced,-6.58839
Balanced,-6.34005
Balanced,-6.060605
Balanced,-6.053225
Balanced,-5.89829
Balanced,-5.52081
Balanced,-6.552705
Balanced,-5.464595
Balanced,-5.391205
Balanced,-6.908825
Balanced,-6.88757
Balanced,-7.090955
Balanced,-5.951645
Balanced,-4.815775
Balanced,-5.18007
Balanced,-6.19253
Balanced,-6.24326
Balanced,-5.581705
Balanced,-5.72545
Balanced,-6.00969
Balanced,-5.66699
Balanced,-6.73312
Balanced,-6.588895
Balanced,-6.366155
Balanced,-6.007615
Balanced,-5.07503
Balanced,-4.622215
Balanced,-5.115045
Balanced,-5.754485
Balanced,-5.41879
Balanced,-4.940415
Balanced,-4.59475
Balanced,-4.449175
Balanced,-4.59429
Balanced,-5.702565
Balanced,-6.03211
Balanced,-5.380915
Balanced,-4.8593
Balanced,-4.752585
Balanced,-4.394885
Balanced,-3.42785
Balanced,-2.746225
Balanced,-2.24023
Balanced,-1.48089
Balanced,-1.24614
Balanced,-1.688815
Balanced,-1.752015
Balanced,-0.78424
Balanced,-0.680025
Balanced,-0.6197
Balanced,-1.093855
Balanced,-1.69508
Balanced,-0.97446
Balanced,-0.2914
Balanced,-0.383595
Balanced,0.09715
Balanced,-0.1792
Balanced,-0.375495
Balanced,-0.487435
Balanced,-0.572375
Balanced,-0.646035
Balanced,-0.446345
Balanced,0.253255
Balanced,-0.07588
Balanced,-0.46005
Balanced,-0.86028
Balanced,-0.557075
Balanced,-0.385015
Balanced,-0.93203
Balanced,-1.37211
Balanced,-1.475815
Balanced,-2.683475
Balanced,-3.676325
Balanced,-3.692475
Balanced,-4.15495
Balanced,-3.62846
Balanced,-3.06172
Balanced,-2.812895
Balanced,-3.298535
Balanced,-3.258735
Balanced,-2.724705
Balanced,-2.77827
Balanced,-2.83153
Balanced,-2.92942
Balanced,-2.435
Balanced,-2.174515
Balanced,-2.02931
Balanced,-2.231755
Balanced,-2.69872
Balanced,-3.1539
Balanced,-3.434215
Balanced,-2.44188
Balanced,-2.831815
Balanced,-2.500765
Balanced,-2.353375
Balanced,-2.31377
Balanced,-3.13185
Balanced,-2.72648
Balanced,-2.65739
Balanced,-1.53736
Balanced,-1.587045
Balanced,-1.58099
Balanced,-0.844405
Balanced,-0.56183
Balanced,-0.375075
Balanced,0.31795
Balanced,0.769385
Balanced,0.19265
Balanced,0.23647
Balanced,0.06074
Balanced,-0.2069
Balanced,-0.52159
Balanced,-0.978785
Balanced,-0.598175
Balanced,0.0136
Balanced,-0.907655
Balanced,-0.831975
Balanced,-0.425825
Balanced,-0.34096
Balanced,-0.346835
Balanced,0.30592
Balanced,-0.4103
Balanced,-0.19431
Balanced,0.25806
Balanced,1.141345
Balanced,1.76374
Balanced,3.555915
Balanced,3.901335
Balanced,4.58115
Balanced,4.651695
Balanced,5.054235
Balanced,4.87061
Balanced,4.56986
Balanced,3.97556
Balanced,4.66281
Balanced,5.61113
Balanced,6.66559
Balanced,6.36885
Balanced,6.36917
Balanced,7.40624
Balanced,7.492985
Balanced,9.05848
Balanced,10.521075
Balanced,10.79487
Balanced,9.16938
Balanced,8.448685
Balanced,8.3283
Balanced,8.65837
Balanced,8.807635
Balanced,10.539495
Balanced,10.996805
Balanced,10.75094
Balanced,11.114815
Balanced,11.444775
Balanced,10.65307
Balanced,10.437785
Balanced,12.75599
Balanced,11.85344
Balanced,12.37273
Balanced,12.5645
Balanced,15.214865
Balanced,14.05829
Balanced,14.129385
Balanced,12.2946
Balanced,12.520125
Balanced,12.525905
Balanced,12.81595
Balanced,11.390785
Balanced,9.819425
Balanced,10.142895
Balanced,10.0643
Balanced,8.483675
Balanced,7.558085
Balanced,6.756
Balanced,8.20774
Balanced,9.05523
Balanced,9.58016
Balanced,9.69058
Balanced,9.586305
Balanced,8.941205
Balanced,9.798975
Balanced,11.53447
Balanced,11.92884
Balanced,11.387785
Balanced,10.985515
Balanced,11.654095
Balanced,12.082995
Balanced,11.23552
Balanced,12.640325
Balanced,13.439075
Balanced,12.75048
Balanced,12.647
Balanced,11.557685
Balanced,7.820715
Balanced,6.938865
